Designator,Mid X,Mid Y,Rotation,Layer
C1,242.0,-112.545,270.0,top
C10,185.28,-110.4,270.0,top
C11,188.28,-107.9,0.0,top
C12,211.49,-119.97,180.0,top
C13,98.49,-108.68,180.0,top
C14,98.49,-111.54,180.0,top
C15,98.97,-104.45,90.0,top
C16,102.3,-105.42,90.0,top
C17,98.49,-110.34,180.0,top
C18,98.49,-107.48,180.0,top
C19,105.9,-105.42,90.0,top
C2,236.0,-112.545,90.0,top
C20,58.9475,-112.545,270.0,top
C21,112.69,-115.772,180.0,top
C22,115.69,-113.272,90.0,top
C23,64.9475,-112.545,270.0,top
C24,86.73,-111.05,270.0,top
C25,173.37,-62.002,270.0,bottom
C26,191.37,-55.002,270.0,bottom
C27,209.37,-60.502,270.0,bottom
C28,227.37,-63.002,270.0,bottom
C29,155.37,-91.002,270.0,bottom
C3,201.97,-118.765,270.0,top
C30,173.37,-78.976,270.0,bottom
C31,191.37,-72.118,270.0,bottom
C32,209.37,-79.0,270.0,bottom
C33,227.35,-79.992,270.0,bottom
C34,155.37,-74.002,270.0,bottom
C35,155.37,-108.002,270.0,bottom
C36,173.37,-95.99,270.0,bottom
C37,191.37,-89.136,270.0,bottom
C38,209.37,-94.47,270.0,bottom
C39,227.35,-97.01,270.0,bottom
C4,202.47,-114.95,0.0,top
C40,218.0,-122.5,285.0,bottom
C41,236.0,-129.0,300.0,bottom
C42,64.2,-63.002,270.0,bottom
C43,82.214,-60.502,270.0,bottom
C44,100.202,-55.002,270.0,bottom
C45,118.228,-62.002,270.0,bottom
C46,136.246,-74.002,270.0,bottom
C47,64.2,-79.992,270.0,bottom
C48,82.214,-77.452,270.0,bottom
C49,100.202,-72.118,270.0,bottom
C5,202.47,-111.92,0.0,top
C50,118.228,-78.976,270.0,bottom
C51,136.246,-91.002,270.0,bottom
C52,64.2,-97.01,270.0,bottom
C53,82.214,-94.47,270.0,bottom
C54,100.202,-89.136,270.0,bottom
C55,118.228,-95.994,270.0,bottom
C56,136.246,-108.002,270.0,bottom
C57,73.65,-125.12,255.0,bottom
C58,56.71,-133.8,240.0,bottom
C59,190.07,-114.736,270.0,top
C6,198.67,-118.24,270.0,top
C60,195.07,-118.24,270.0,top
C61,194.82,-105.42,90.0,top
C62,202.46,-116.3,0.0,top
C63,112.2,-108.936,90.0,top
C64,106.25,-118.26,270.0,top
C65,101.99,-118.26,270.0,top
C66,110.9,-108.936,90.0,top
C67,235.2,-121.545,180.0,bottom
C68,169.07,-110.098,180.0,bottom
C69,169.07,-76.098,180.0,bottom
C7,199.0,-105.42,90.0,top
C70,223.57,-65.098,180.0,bottom
